Group,ID-1,Locus_Tag,Protein1,symbol,name Prot1,Annotation,start,end,strand,Origin,ID-2,Locus_tag,Protein2,symbol,name Prot2,Annotation,start,end,strand,Origin
1,lcl_NZ_AYEK01000001.1_prot_WP_001300563.1_15,P370_RS0100080,WP_001300563.1,,IS4 family transposase,,15445,16557,+,chrm
1,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_001300563.1_625,P370_RS0102900,WP_001300563.1,,IS4 family transposase,,607289,608401,+,chrm,
1,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_001300563.1_2565,P370_RS0112030,WP_001300563.1,,IS4 family transposase,,2511578,2512690,+,chrm,
2,lcl_NZ_AYEK01000001.1_prot_WP_000197389.1_255,P370_RS0101245,WP_000197389.1,,DUF945 domain_containing protein,,266408,267229,-,chrm
2,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_000197391.1_2809,P370_RS0113255,WP_000197391.1,,DUF945 domain_containing protein,,2765912,2766733,+,chrm,
3,lcl_NZ_AYEK01000001.1_prot_WP_001254938.1_259,P370_RS0101265,WP_001254938.1,,IS30_like element IS30 family transposase,,269827,270978,+,chrm
3,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_001254932.1_4516,P370_RS0121590,WP_001254932.1,,IS30 family transposase IS30,,4504734,4505885,-,chrm,
3,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_001254932.1_1503,P370_RS0107060,WP_001254932.1,,IS30 family transposase IS30,,1467383,1468534,+,chrm,
4,lcl_NZ_AYEK01000001.1_prot_WP_071594930.1_264,P370_RS1000000124215,WP_071594930.1,,sugar kinase,,273177,273287,+,chrm
4,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_001407525.1_2350,P370_RS1000000125060,WP_001407525.1,,hypothetical protein,,2286152,2286274,+,chrm,
5,lcl_NZ_AYEK01000001.1_prot_WP_010723085.1_265,P370_RS0101280,WP_010723085.1,,IS5_like element IS5 family transposase,,273325,274341,-,chrm
5,,,,,,,,,,,lcl_NZ_AYEK01000001.1_prot_WP_010723085.1_3155,P370_RS0114960,WP_010723085.1,,IS5_like element IS5 family transposase,,3127425,3128441,+,chrm,
